day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Weekday,16.8,37.5,72,12.7,0.876979167,TRUE,70
Saturday,17.9,0,28.2,26.9,0.878032407,TRUE,0
Sunday,18.5,0,43,29.5,0.8790625,TRUE,0
Weekday,18.9,0,35.5,28.2,0.883993056,TRUE,0
Saturday,20.9,0,1.6,27.6,0.884918981,TRUE,0
Sunday,18,0,59.3,17.6,0.885833333,TRUE,22
Monday,16.1,0,33.1,22.2,0.892037037,TRUE,0
Weekday,14.2,0,80.7,12,0.887581019,TRUE,33
Weekday,12.1,29.17,91,7.6,0.888414352,TRUE,83
Weekday,14.9,0,90.6,11.2,0.889224537,TRUE,46
Weekday,17.7,0,47.4,26.2,0.890011574,TRUE,0
Saturday,19,0,32.1,26.2,0.890775463,TRUE,0
Sunday,18.8,0,33.2,24.3,0.891516204,TRUE,0
Monday,15.3,0,85.4,17.3,0.892222222,TRUE,0
Weekday,12.9,0,91.2,6.2,0.892893519,TRUE,72
Weekday,16.8,0,75,16.8,0.893541667,TRUE,0
Weekday,17.9,0,68.3,23.5,0.894155093,TRUE,0
Weekday,19.8,0,59.2,26.8,0.89474537,TRUE,0
Saturday,28.7,4.17,45.1,24,0.895300926,TRUE,0
Sunday,28.8,16.67,42.1,25.7,0.895821759,TRUE,0
Monday,27.9,20.83,48.5,23.6,0.89630787,TRUE,0
Weekday,26.9,0,9.6,28.1,0.896759259,TRUE,0
Weekday,24.8,0,0.1,27.6,0.897175926,TRUE,0
Weekday,24.1,0,25.5,22.7,0.89755787,TRUE,0
Weekday,25,0,59.2,25.6,0.897905093,TRUE,14.1875
Saturday,22.8,8.33,14.5,15.4,0.898217593,TRUE,0
Sunday,23.5,33.33,51.6,12.7,0.89849537,TRUE,6.375
Monday,23.8,8.33,45.2,18.4,0.898726852,TRUE,0
Weekday,19.9,41.67,76.3,5.9,0.898935185,TRUE,84
Weekday,23,4.17,42.6,24.9,0.899097222,TRUE,0
Weekday,23.5,8.33,48.7,14.7,0.899212963,TRUE,0
Weekday,22.9,4.17,55,19.5,0.899305556,TRUE,11.2578125
Saturday,25.5,4.17,64.1,16.7,0.899351852,TRUE,19.0703125
Sunday,27.9,12.5,53.2,22.5,0.899351852,TRUE,28
Monday,20.6,0,42.8,22.9,0.899328704,TRUE,1.4921875
Weekday,18.1,0,77.7,5,0.899259259,TRUE,90
Weekday,22.8,33.33,74.5,8.6,0.899143519,TRUE,45.703125
Weekday,19.9,16.67,48.2,20.3,0.898993056,TRUE,0
Weekday,17,29.17,64,8.4,0.89880787,TRUE,86
Saturday,18.2,25,74.1,16.3,0.898587963,TRUE,0
Sunday,17.7,12.5,66.8,12.9,0.898321759,TRUE,13.2109375
Monday,16.8,25,59.4,15,0.898020833,TRUE,18.09375
Weekday,17,16.67,48.6,18.4,0.897685185,TRUE,0
Weekday,17.5,12.5,63.8,11.6,0.897314815,TRUE,22
Weekday,20,0,45.5,17.6,0.896898148,TRUE,0
Weekday,26.8,0,11.8,27.8,0.896446759,TRUE,0
Saturday,23.9,54.17,38.2,8.5,0.895960648,TRUE,74
Sunday,22.7,25,47.8,19.7,0.895439815,TRUE,10.28125
Monday,20.8,25,47.2,11.8,0.894884259,TRUE,48
Weekday,18.1,66.67,70.4,9.9,0.894293981,TRUE,68
Weekday,19.8,37.5,50.2,18.2,0.893668981,TRUE,0
Weekday,20.1,25,50.4,17,0.893009259,TRUE,0
Weekday,16.8,62.5,71,4.4,0.892314815,TRUE,77
Saturday,19.3,70.83,65.6,16.2,0.891585648,TRUE,0
Sunday,18.8,50,67.3,13.5,0.890833333,TRUE,0
Monday,19.7,20.83,38.1,17.5,0.890034722,TRUE,0
Weekday,16,41.67,68,7.9,0.889212963,TRUE,26
Weekday,20.6,58.33,70.8,17.6,0.888368056,TRUE,14.1875
Weekday,18.2,0,58.3,11.2,0.887488426,TRUE,11.2578125
Weekday,18,45.83,58.2,13,0.886574074,TRUE,23
Saturday,16.8,83.33,86.4,4.2,0.885636574,TRUE,100
Sunday,21.4,83.33,82.3,13.8,0.884664352,TRUE,58
Monday,18.5,50,77,11.9,0.883668981,TRUE,49
Weekday,18.5,33.33,59.9,13.3,0.882650463,TRUE,0
Weekday,20.8,8.33,42.5,17.5,0.881608796,TRUE,0
Weekday,22.7,8.33,70.9,10,0.880532407,TRUE,18.09375
Weekday,21.9,4.17,77,12.8,0.87943287,TRUE,28
Saturday,21,4.17,59.6,19.2,0.878321759,TRUE,18.09375
Sunday,18.8,37.5,68.4,11.4,0.877175926,TRUE,45
Monday,17.7,70.83,66.9,5,0.876006944,TRUE,98
Weekday,18.7,0,72.7,9.1,0.874814815,TRUE,82
Weekday,20,62.5,75.7,10.1,0.873611111,TRUE,19.4921875
Weekday,19.5,25,57.1,13,0.872372685,TRUE,15.1640625
Weekday,17.9,41.67,78.5,10.5,0.871122685,TRUE,50
Saturday,13,70.83,88.9,5.3,0.869849537,TRUE,100
Sunday,17.4,8.33,47.8,13,0.868564815,TRUE,2.46875
Monday,19,0,32.9,13.8,0.865162037,TRUE,32
Weekday,18,20.83,49.9,12.2,0.865925926,TRUE,34
Weekday,21.9,0,56.9,15.8,0.864583333,TRUE,0
Weekday,26.9,0,46.7,21.1,0.863217593,TRUE,0
Weekday,23.8,0,52.8,23.2,0.861840278,TRUE,0
Saturday,20.7,20.83,51.4,11.5,0.860439815,TRUE,25
Sunday,19.9,20.83,65.1,8.6,0.859039352,TRUE,45
Monday,20.7,70.83,86.5,4.7,0.857615741,TRUE,70
Weekday,21.6,4.17,32.5,18.7,0.856168981,TRUE,26
Weekday,22.9,0,32.7,14.7,0.854722222,TRUE,0
Weekday,21.9,0,73.3,21.3,0.853252315,TRUE,0
Weekday,20.9,33.33,78.6,5.5,0.851782407,TRUE,91.1640625
Saturday,23,20.83,56.7,13.8,0.850289352,TRUE,19.0703125
Sunday,23.5,0,31,17.9,0.848784722,TRUE,22
Monday,22.7,4.17,36.6,16.9,0.847268519,TRUE,29
Weekday,22,0,59.4,17.6,0.845752315,TRUE,22
Weekday,22.9,8.33,59.6,14.7,0.844212963,TRUE,0
Weekday,20.9,8.33,46.3,12.9,0.842673611,TRUE,27
